age,salary,experience
58,72107,12
48,50666,12
34,74357,5
27,45708,7
40,56370,4
58,79811,6
38,32811,13
42,77011,15
30,36546,3
30,64754,8
43,60206,16
55,71106,13
59,41411,18
43,32911,10
22,31734,19
41,48227,17
21,38680,19
43,49360,5
49,48343,9
57,35759,12
21,53078,1
40,65153,1
52,41111,15
31,67504,2
41,31802,16
44,38155,8
46,38120,13
47,69384,1
35,77025,16
34,77254,7
22,51918,5
56,50445,3
26,60306,12
40,46646,16
28,76843,19
58,61065,5
37,55199,14
23,71976,5
44,46371,15
33,41835,17
28,75936,14
45,32049,5
21,61616,12
39,68191,16
47,77357,16
26,50932,7
27,59855,4
54,37158,1
33,73016,5
36,37400,10
55,72642,5
59,45151,4
23,31154,2
21,34499,10
25,36295,19
23,42183,1
48,59299,5
37,42874,13
45,62711,4
53,35539,16
29,72405,16
55,78354,2
33,32557,17
50,68360,12
34,46482,18
27,32200,3
33,76940,1
42,32961,1
59,76975,19
40,51357,11
35,41969,5
37,32869,12
43,76760,3
45,58643,1
44,54736,1
48,68467,8
34,53328,10
20,55876,11
44,51295,12
26,33987,13
28,52399,12
43,76214,14
20,63986,2
27,50880,19
43,34735,18
30,74064,3
36,34555,17
27,71914,8
54,70818,10
54,75525,2
52,49830,19
24,47429,9
58,36893,7
47,44373,4
26,77333,18
28,33436,13
27,38754,11
31,40677,4
53,35895,4
52,49738,10
42,60746,5
43,79377,9
56,78404,3
54,62352,17
59,69790,3
41,71919,16
46,35600,4
54,59124,18
20,57643,17
54,70764,7
56,39007,5
33,75714,12
22,67410,17
20,74080,13
24,70447,3
45,38208,9
33,48589,17
58,73484,17
46,47453,16
28,66212,13
34,73525,19
34,77202,17
45,62635,4
32,63828,12
51,48711,9
58,33420,19
51,61216,12
23,30301,9
49,75236,7
56,79758,14
42,30699,19
58,30190,15
34,40492,16
48,65743,5
55,36102,3
32,49778,12
51,56641,4
26,64584,16
41,62745,7
47,53093,13
21,30569,10
25,68210,7
47,64663,14
47,66631,5
39,75681,3
49,37455,11
30,34014,11
47,41093,18
44,48070,15
58,65777,12
52,46538,9
20,40729,10
46,64177,12
32,75017,17
22,30784,6
58,57751,7
25,70864,14
27,70328,13
46,42533,8
28,70111,10
56,69974,9
52,35801,18
43,49190,2
34,79689,5
51,68754,5
51,59592,6
43,40647,19
31,38716,8
58,53355,16
21,52009,13
22,54376,1
56,75091,17
36,34780,7
21,32368,13
21,42039,4
47,36655,4
42,70941,6
56,34495,19
51,40893,12
52,55547,7
20,52386,10
38,43403,19
21,62097,7
45,43121,3
51,40966,13
25,63621,13
51,58312,18
23,79726,8
30,52677,9
36,61289,7
57,61024,1
43,72675,3
24,34777,13
53,59749,17
25,45338,1
41,32491,6
30,57236,6
35,78096,12
52,44599,13
28,49508,13
